Type,date,id,price
french,2013-04-26 05:55:26.768481,1,12
mexican,2013-04-26 06:08:04.654123,2,7
vietnamese,2013-04-26 07:16:35.934483,3,6
french,2013-04-26 14:42:39.883565,4,11
french,2013-04-26 16:09:50.262092,5,11
french,2013-04-26 17:24:26.144577,6,8
chinese,2013-04-26 18:27:05.118500,7,15
japanese,2013-04-26 18:34:28.648082,8,13
italian,2013-04-26 21:25:24.283363,9,10
mexican,2013-04-27 03:58:21.284641,10,12
french,2013-04-27 15:16:01.704242,11,5
chinese,2013-04-27 16:16:08.954292,12,7
italian,2013-04-27 19:29:37.709880,13,11
vietnamese,2013-04-28 00:02:39.531725,14,14
italian,2013-04-28 00:32:41.311419,15,10
mexican,2013-04-28 08:39:56.025609,16,10
chinese,2013-04-28 14:06:44.992138,17,9
french,2013-04-28 19:19:13.313319,18,8
german,2013-04-29 01:42:01.000946,19,10
vietnamese,2013-04-29 03:21:49.019757,20,6
french,2013-04-29 08:00:57.113285,21,6
vietnamese,2013-04-29 09:54:33.185463,22,13
italian,2013-04-29 11:13:05.720583,23,12
vietnamese,2013-04-29 13:39:37.220200,24,5
vietnamese,2013-04-29 14:17:00.546513,25,13
mexican,2013-04-29 16:54:06.822648,26,11
french,2013-04-29 18:06:13.792168,27,14
chinese,2013-05-01 03:03:50.290282,28,5
chinese,2013-05-01 07:50:09.324076,29,10
vietnamese,2013-05-01 08:26:12.569513,30,7
german,2013-05-01 09:29:59.189005,31,11
vietnamese,2013-05-01 13:19:32.033468,32,15
french,2013-05-01 16:08:22.658319,33,15
italian,2013-05-01 16:31:04.008986,34,12
vietnamese,2013-05-01 17:13:54.699249,35,12
mexican,2013-05-02 06:28:12.395944,36,13
german,2013-05-02 09:50:51.868032,37,14
german,2013-05-02 11:31:10.018304,38,9
japanese,2013-05-02 15:26:00.525675,39,7
chinese,2013-05-02 16:15:51.196578,40,5
japanese,2013-05-02 17:00:12.508251,41,9
french,2013-05-02 19:51:16.055712,42,11
mexican,2013-05-02 21:30:27.495890,43,9
french,2013-05-02 23:47:08.748337,44,13
chinese,2013-05-03 02:06:36.607361,45,8
german,2013-05-03 02:17:52.534798,46,8
italian,2013-05-03 05:59:28.325131,47,10
vietnamese,2013-05-03 07:03:59.965405,48,5
chinese,2013-05-03 08:44:40.242256,49,12
chinese,2013-05-03 18:26:20.466111,50,6
french,2013-05-03 20:07:39.465819,51,11
japanese,2013-05-03 21:06:48.985357,52,6
chinese,2013-05-04 03:00:52.115075,53,6
french,2013-05-04 06:15:09.109914,54,7
chinese,2013-05-04 09:20:05.660394,55,10
japanese,2013-05-04 10:08:50.860179,56,15
vietnamese,2013-05-04 10:54:15.673623,57,13
vietnamese,2013-05-04 17:28:15.117097,58,11
mexican,2013-05-04 17:38:06.430631,59,5
vietnamese,2013-05-04 19:41:15.276207,60,13
chinese,2013-05-04 21:48:42.332268,61,8
german,2013-05-04 22:20:34.167514,62,10
german,2013-05-05 04:28:40.399924,63,15
vietnamese,2013-05-06 05:07:43.510056,64,9
chinese,2013-05-06 13:58:51.780343,65,8
japanese,2013-05-07 00:12:10.642999,66,9
german,2013-05-07 01:43:58.312545,67,8
german,2013-05-07 19:49:44.760332,68,15
chinese,2013-05-07 20:12:50.371673,69,12
italian,2013-05-08 02:13:05.782322,70,11
italian,2013-05-08 10:19:26.272712,71,14
german,2013-05-08 16:21:03.553861,72,5
vietnamese,2013-05-09 18:39:07.993891,73,10
japanese,2013-05-10 16:46:51.823505,74,15
german,2013-05-11 09:11:05.372562,75,15
vietnamese,2013-05-11 17:33:40.189820,76,5
german,2013-05-11 19:26:46.598690,77,5
chinese,2013-05-11 22:20:32.259633,78,8
chinese,2013-05-12 02:20:18.640121,79,5
german,2013-05-12 03:22:30.168246,80,11
mexican,2013-05-12 03:28:40.708958,81,14
mexican,2013-05-12 09:11:31.559636,82,8
vietnamese,2013-05-12 13:24:35.365241,83,13
mexican,2013-05-12 13:36:51.567704,84,6
