id,date,Campaign_ID,Created_Date
1,2013-04-27 07:05:14.198744,PI,2013-04-27 07:05:14.198744
2,2013-04-27 09:42:15.646945,RE,2013-04-27 09:42:15.646945
3,2013-04-27 11:29:41.106292,RE,2013-04-27 11:29:41.106292
4,2013-04-27 15:31:34.764125,PI,2013-04-27 15:31:34.764125
5,2013-04-29 00:41:10.090740,RE,2013-04-29 00:41:10.090740
6,2013-04-29 01:28:21.742328,TW,2013-04-29 01:28:21.742328
7,2013-04-29 01:53:44.046158,RE,2013-04-29 01:53:44.046158
8,2013-04-29 04:26:17.445645,PI,2013-04-29 04:26:17.445645
9,2013-04-29 05:22:02.620005,RE,2013-04-29 05:22:02.620005
10,2013-04-29 07:52:56.123153,RE,2013-04-29 07:52:56.123153
11,2013-04-29 08:06:25.084036,RE,2013-04-29 08:06:25.084036
12,2013-04-29 18:27:53.753817,RE,2013-04-29 18:27:53.753817
13,2013-04-29 19:44:01.235405,FB,2013-04-29 19:44:01.235405
14,2013-04-29 20:18:21.563818,TW,2013-04-29 20:18:21.563818
15,2013-04-30 01:13:09.979330,FB,2013-04-30 01:13:09.979330
16,2013-04-30 02:13:15.589798,PI,2013-04-30 02:13:15.589798
17,2013-04-30 11:12:49.272464,TW,2013-04-30 11:12:49.272464
18,2013-04-30 23:12:29.560647,FB,2013-04-30 23:12:29.560647
19,2013-04-30 23:29:50.254392,RE,2013-04-30 23:29:50.254392
20,2013-05-01 03:33:27.921917,PI,2013-05-01 03:33:27.921917
21,2013-05-01 05:55:55.003063,RE,2013-05-01 05:55:55.003063
22,2013-05-01 08:18:00.766090,PI,2013-05-01 08:18:00.766090
23,2013-05-01 14:49:03.467145,RE,2013-05-01 14:49:03.467145
24,2013-05-01 14:52:14.117905,TW,2013-05-01 14:52:14.117905
25,2013-05-01 18:15:08.167344,TW,2013-05-01 18:15:08.167344
26,2013-05-02 00:11:20.954532,FB,2013-05-02 00:11:20.954532
27,2013-05-02 00:58:49.625029,PI,2013-05-02 00:58:49.625029
28,2013-05-02 08:29:38.630510,RE,2013-05-02 08:29:38.630510
29,2013-05-02 16:02:05.715128,RE,2013-05-02 16:02:05.715128
30,2013-05-03 11:06:48.287425,TW,2013-05-03 11:06:48.287425
31,2013-05-03 16:33:10.923425,FB,2013-05-03 16:33:10.923425
32,2013-05-03 17:50:14.689941,TW,2013-05-03 17:50:14.689941
33,2013-05-03 22:41:32.147973,PI,2013-05-03 22:41:32.147973
34,2013-05-04 06:04:32.322271,FB,2013-05-04 06:04:32.322271
35,2013-05-04 11:12:42.657955,PI,2013-05-04 11:12:42.657955
36,2013-05-04 12:02:31.721578,TW,2013-05-04 12:02:31.721578
37,2013-05-04 15:16:04.196892,RE,2013-05-04 15:16:04.196892
38,2013-05-04 22:48:07.008189,TW,2013-05-04 22:48:07.008189
39,2013-05-05 03:09:29.528424,FB,2013-05-05 03:09:29.528424
40,2013-05-05 10:47:27.414725,TW,2013-05-05 10:47:27.414725
41,2013-05-05 13:54:47.187320,TW,2013-05-05 13:54:47.187320
42,2013-05-05 15:34:36.357253,FB,2013-05-05 15:34:36.357253
43,2013-05-05 15:41:23.777135,RE,2013-05-05 15:41:23.777135
44,2013-05-05 16:08:49.595792,FB,2013-05-05 16:08:49.595792
45,2013-05-05 21:14:46.816347,FB,2013-05-05 21:14:46.816347
46,2013-05-06 04:40:09.935454,RE,2013-05-06 04:40:09.935454
47,2013-05-07 00:21:43.666746,PI,2013-05-07 00:21:43.666746
48,2013-05-07 01:36:29.391158,PI,2013-05-07 01:36:29.391158
49,2013-05-07 01:55:27.520300,TW,2013-05-07 01:55:27.520300
50,2013-05-07 02:22:32.784292,RE,2013-05-07 02:22:32.784292
51,2013-05-07 09:33:38.177541,FB,2013-05-07 09:33:38.177541
52,2013-05-07 11:07:25.914900,FB,2013-05-07 11:07:25.914900
53,2013-05-07 12:54:11.624843,RE,2013-05-07 12:54:11.624843
54,2013-05-07 16:26:18.341177,TW,2013-05-07 16:26:18.341177
55,2013-05-07 20:27:59.949275,TW,2013-05-07 20:27:59.949275
56,2013-05-07 20:47:11.119662,FB,2013-05-07 20:47:11.119662
57,2013-05-08 07:12:41.596876,RE,2013-05-08 07:12:41.596876
58,2013-05-08 08:30:34.748087,TW,2013-05-08 08:30:34.748087
59,2013-05-08 19:05:32.380855,RE,2013-05-08 19:05:32.380855
60,2013-05-08 21:04:01.196621,RE,2013-05-08 21:04:01.196621
61,2013-05-08 22:30:37.691030,FB,2013-05-08 22:30:37.691030
62,2013-05-09 02:16:43.518910,RE,2013-05-09 02:16:43.518910
63,2013-05-09 08:52:17.169367,PI,2013-05-09 08:52:17.169367
64,2013-05-09 13:33:00.139926,PI,2013-05-09 13:33:00.139926
65,2013-05-09 23:51:59.790091,PI,2013-05-09 23:51:59.790091
66,2013-05-11 01:33:55.304801,PI,2013-05-11 01:33:55.304801
67,2013-05-11 02:20:41.742997,PI,2013-05-11 02:20:41.742997
68,2013-05-11 05:53:00.457489,RE,2013-05-11 05:53:00.457489
69,2013-05-11 06:01:49.934840,FB,2013-05-11 06:01:49.934840
70,2013-05-11 08:03:10.804263,FB,2013-05-11 08:03:10.804263
71,2013-05-11 13:09:56.646046,PI,2013-05-11 13:09:56.646046
72,2013-05-11 14:44:35.377610,PI,2013-05-11 14:44:35.377610
73,2013-05-11 21:32:22.675316,FB,2013-05-11 21:32:22.675316
74,2013-05-11 22:37:48.630588,RE,2013-05-11 22:37:48.630588
75,2013-05-12 04:54:20.226937,TW,2013-05-12 04:54:20.226937
76,2013-05-12 07:40:50.442888,RE,2013-05-12 07:40:50.442888
77,2013-05-12 13:09:44.285856,FB,2013-05-12 13:09:44.285856
78,2013-05-12 18:06:44.898355,FB,2013-05-12 18:06:44.898355
79,2013-05-13 12:41:12.662026,TW,2013-05-13 12:41:12.662026
80,2013-05-13 16:10:38.627434,PI,2013-05-13 16:10:38.627434
81,2013-05-13 16:11:29.655763,PI,2013-05-13 16:11:29.655763
82,2013-05-14 08:44:35.974757,RE,2013-05-14 08:44:35.974757
83,2013-05-14 10:06:06.291835,PI,2013-05-14 10:06:06.291835
84,2013-05-14 18:54:18.426112,PI,2013-05-14 18:54:18.426112
85,2013-05-14 19:35:01.329479,TW,2013-05-14 19:35:01.329479
86,2013-05-14 20:57:04.512321,PI,2013-05-14 20:57:04.512321
87,2013-05-14 21:26:35.411800,TW,2013-05-14 21:26:35.411800
88,2013-05-15 08:07:55.323855,TW,2013-05-15 08:07:55.323855
89,2013-05-16 00:16:59.571746,FB,2013-05-16 00:16:59.571746
90,2013-05-16 11:49:48.906868,TW,2013-05-16 11:49:48.906868
91,2013-05-16 14:17:34.236533,PI,2013-05-16 14:17:34.236533
92,2013-05-16 22:35:37.505527,TW,2013-05-16 22:35:37.505527
93,2013-05-17 03:52:14.699669,TW,2013-05-17 03:52:14.699669
94,2013-05-17 05:05:35.765646,FB,2013-05-17 05:05:35.765646
95,2013-05-17 05:43:44.883175,TW,2013-05-17 05:43:44.883175
96,2013-05-17 11:07:45.783696,TW,2013-05-17 11:07:45.783696
97,2013-05-17 18:31:24.997073,RE,2013-05-17 18:31:24.997073
98,2013-05-18 00:28:35.625948,TW,2013-05-18 00:28:35.625948
99,2013-05-18 03:38:16.732756,RE,2013-05-18 03:38:16.732756
100,2013-05-18 05:21:44.666374,FB,2013-05-18 05:21:44.666374
101,2013-05-18 06:42:44.249979,PI,2013-05-18 06:42:44.249979
102,2013-05-18 10:03:46.243993,PI,2013-05-18 10:03:46.243993
103,2013-05-18 10:46:39.703273,FB,2013-05-18 10:46:39.703273
104,2013-05-18 21:25:01.227410,PI,2013-05-18 21:25:01.227410
105,2013-05-18 22:38:52.682658,RE,2013-05-18 22:38:52.682658
106,2013-05-19 00:02:16.112851,PI,2013-05-19 00:02:16.112851
107,2013-05-19 00:27:00.981889,RE,2013-05-19 00:27:00.981889
108,2013-05-19 03:28:51.708308,PI,2013-05-19 03:28:51.708308
109,2013-05-19 08:02:49.842725,TW,2013-05-19 08:02:49.842725
110,2013-05-19 09:34:47.058517,RE,2013-05-19 09:34:47.058517
111,2013-05-19 11:58:59.509961,PI,2013-05-19 11:58:59.509961
112,2013-05-19 12:06:14.269384,RE,2013-05-19 12:06:14.269384
113,2013-05-19 18:16:06.632108,FB,2013-05-19 18:16:06.632108
114,2013-05-19 18:25:44.178502,PI,2013-05-19 18:25:44.178502
115,2013-05-19 21:06:17.834591,TW,2013-05-19 21:06:17.834591
116,2013-05-19 23:31:12.430544,TW,2013-05-19 23:31:12.430544
117,2013-05-20 14:25:49.169472,RE,2013-05-20 14:25:49.169472
118,2013-05-20 17:08:16.809065,TW,2013-05-20 17:08:16.809065
119,2013-05-21 01:08:35.431971,TW,2013-05-21 01:08:35.431971
120,2013-05-21 13:03:27.909943,FB,2013-05-21 13:03:27.909943
121,2013-05-21 13:44:31.879119,FB,2013-05-21 13:44:31.879119
122,2013-05-21 13:47:18.748689,TW,2013-05-21 13:47:18.748689
123,2013-05-23 01:44:02.312808,PI,2013-05-23 01:44:02.312808
124,2013-05-23 03:09:11.172732,FB,2013-05-23 03:09:11.172732
125,2013-05-23 04:03:45.942042,TW,2013-05-23 04:03:45.942042
126,2013-05-23 05:58:25.872751,FB,2013-05-23 05:58:25.872751
127,2013-05-23 08:19:12.338522,FB,2013-05-23 08:19:12.338522
128,2013-05-23 10:14:50.728383,TW,2013-05-23 10:14:50.728383
129,2013-05-23 10:40:31.332533,RE,2013-05-23 10:40:31.332533
130,2013-05-23 16:10:55.597653,FB,2013-05-23 16:10:55.597653
131,2013-05-24 23:34:29.183418,RE,2013-05-24 23:34:29.183418
132,2013-05-24 23:38:46.392914,FB,2013-05-24 23:38:46.392914
133,2013-05-24 23:52:50.648117,PI,2013-05-24 23:52:50.648117
134,2013-05-25 10:37:57.657147,RE,2013-05-25 10:37:57.657147
135,2013-05-25 14:57:00.404857,TW,2013-05-25 14:57:00.404857
136,2013-05-25 15:22:28.736768,RE,2013-05-25 15:22:28.736768
137,2013-05-25 16:38:51.020653,TW,2013-05-25 16:38:51.020653
138,2013-05-25 16:44:07.409582,PI,2013-05-25 16:44:07.409582
139,2013-05-25 17:22:54.068911,PI,2013-05-25 17:22:54.068911
140,2013-05-25 21:18:03.181093,PI,2013-05-25 21:18:03.181093
141,2013-05-26 06:42:02.547836,RE,2013-05-26 06:42:02.547836
142,2013-05-26 07:43:10.812536,TW,2013-05-26 07:43:10.812536
143,2013-05-26 10:02:11.656581,PI,2013-05-26 10:02:11.656581
144,2013-05-26 11:20:44.137385,TW,2013-05-26 11:20:44.137385
145,2013-05-26 14:24:24.787328,TW,2013-05-26 14:24:24.787328
146,2013-05-26 18:27:20.758111,RE,2013-05-26 18:27:20.758111
147,2013-05-26 19:42:08.993173,FB,2013-05-26 19:42:08.993173
148,2013-05-26 20:11:12.312142,PI,2013-05-26 20:11:12.312142
149,2013-05-26 22:01:23.551965,RE,2013-05-26 22:01:23.551965
150,2013-05-26 22:24:57.457897,FB,2013-05-26 22:24:57.457897
151,2013-05-26 23:52:22.849878,PI,2013-05-26 23:52:22.849878
152,2013-05-27 01:03:04.125648,TW,2013-05-27 01:03:04.125648
153,2013-05-27 10:22:27.116340,TW,2013-05-27 10:22:27.116340
154,2013-05-27 10:41:10.294884,PI,2013-05-27 10:41:10.294884
155,2013-05-27 12:16:05.581767,FB,2013-05-27 12:16:05.581767
156,2013-05-27 14:15:08.865839,PI,2013-05-27 14:15:08.865839
