id,date,refer_id,referred_id
1,2013-04-26 05:47:31.640796,1,1
2,2013-04-26 05:57:32.741279,1,1
3,2013-04-26 17:25:46.450073,1,1
4,2013-04-27 03:14:43.182637,1,2
5,2013-04-27 04:22:49.974875,3,3
6,2013-04-27 06:06:21.757882,2,3
7,2013-04-27 11:05:05.025572,3,1
8,2013-04-27 12:29:41.282312,3,2
9,2013-04-27 14:12:08.371546,3,1
10,2013-04-27 14:42:22.333317,2,1
11,2013-04-27 20:22:24.693160,1,3
12,2013-04-27 20:40:03.453450,1,3
13,2013-04-28 11:52:40.805684,2,3
14,2013-04-28 22:52:15.829095,3,6
15,2013-04-29 00:35:58.118130,10,4
16,2013-04-29 01:36:57.836120,13,1
17,2013-04-29 03:10:26.777204,9,6
18,2013-04-29 08:52:31.501613,4,4
19,2013-04-29 14:19:45.716459,4,9
20,2013-04-29 17:22:28.704771,13,3
21,2013-04-29 21:12:35.534121,1,1
22,2013-04-29 22:48:51.280995,4,8
23,2013-04-30 07:28:54.537283,11,10
24,2013-05-01 00:16:36.954836,1,18
25,2013-05-01 02:23:19.188616,16,7
26,2013-05-01 03:33:57.435555,14,3
27,2013-05-01 06:24:05.303112,11,4
28,2013-05-01 09:41:09.834156,24,22
29,2013-05-01 16:32:30.286413,22,9
30,2013-05-01 23:00:45.523318,24,6
31,2013-05-01 23:50:21.055480,19,5
32,2013-05-02 03:42:10.329133,23,15
33,2013-05-02 09:34:17.470085,5,18
34,2013-05-02 10:02:09.307492,17,20
35,2013-05-02 15:08:46.171006,22,25
36,2013-05-02 19:30:40.597120,1,22
37,2013-05-02 21:01:46.629491,3,4
38,2013-05-02 22:14:11.730566,12,24
39,2013-05-03 01:31:48.239450,2,1
40,2013-05-03 04:12:08.546738,13,19
41,2013-05-03 06:37:48.191169,17,29
42,2013-05-03 10:31:30.413950,1,5
43,2013-05-03 11:13:30.141935,18,15
44,2013-05-03 15:18:42.333788,18,32
45,2013-05-03 15:23:58.354299,1,2
46,2013-05-03 16:01:31.883905,31,22
47,2013-05-03 16:17:00.386002,1,17
48,2013-05-03 20:03:54.562320,27,12
49,2013-05-04 02:51:37.820698,4,1
50,2013-05-04 02:59:30.115498,11,23
51,2013-05-04 06:52:20.610919,7,18
52,2013-05-04 08:43:20.418434,4,10
53,2013-05-04 13:56:04.924560,34,20
54,2013-05-04 15:56:15.273942,21,13
55,2013-05-04 19:54:33.446637,24,21
56,2013-05-04 23:09:48.548758,36,8
